"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Sécurité / secours","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'une région, Au sein d'un département","CDD (2-3 ans)","En métropole","","1400","1550","Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Administration système","","2","2019-07-03T08:34:00+00:00"
"Écologie, Santé","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Bordeaux Métropole","2000","2400","Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Product management","","8","2019-07-03T08:33:52+00:00"
"Écologie, Culture, Sports","Non","Je ne sais pas","Travailler au côté de métiers différents du mien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Clermont-Ferrand","2400","2600","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","8","2019-07-03T08:32:09+00:00"
"Économie, Éducation nationale, Enseignement supérieur et recherche, Interministériel","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","Freelance, portage salarial","En région parisienne","","4500","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","CTO","17","2019-07-03T08:31:07+00:00"
"Écologie, Économie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sécurité / secours, Interministériel","Non","Non","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","Paris","3500","4000","Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Communication","","5","2019-07-03T08:30:49+00:00"
"Justice, Santé, Économie, Culture, Interministériel","Non","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","Paris","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Product management","","5","2019-07-03T08:29:30+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2300","2700","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","2","2019-07-03T08:26:37+00:00"
"Écologie, Justice, Santé, Enseignement supérieur et recherche, Sécurité / secours","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","","2000","2788","Ne pas être soumis à des habilitations de sécurité / défense, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement backend","","1","2019-07-03T08:06:07+00:00"
"Éducation nationale, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3500","5000","Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","20","2019-07-03T07:56:42+00:00"
"Éducation nationale, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3500","5000","Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","20","2019-07-03T07:56:26+00:00"
"Éducation nationale, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3500","5000","Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","20","2019-07-03T07:56:24+00:00"
"Éducation nationale, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3500","5000","Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","20","2019-07-03T07:56:13+00:00"
"Économie, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Non","Non","Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région","Freelance, portage salarial","En métropole","Bordeaux","1500","2500","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Product management","","10","2019-07-03T07:39:33+00:00"
"Écologie, Santé, Sports","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Essonne","3000","4000","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Une femme","Administration système","","20","2019-07-03T07:38:34+00:00"
"Défense, Économie, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","Freelance, portage salarial","En métropole","76","2500","4000","Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir démarrer en autonomie des serveurs","","Un homme","Marketing","","10","2019-07-03T07:26:54+00:00"
"Éducation nationale, Enseignement supérieur et recherche","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En région parisienne","","3000","3498","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Autre","responsable data éditorial","16","2019-07-03T07:16:43+00:00"
"Écologie, Éducation nationale","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Goussainville, Est Val d'Oise, Paris (accessible facilement en RER)","2200","2300","Travailler 35h / semaine, Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Développement fullstack","","4","2019-07-03T06:11:52+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","","3500","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Business analyse, stratégie digitale, service design","15","2019-07-03T05:12:58+00:00"
"Éducation nationale, Interministériel","Non","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","3500","4200","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles","","Une femme","Administration système","","20","2019-07-03T05:03:34+00:00"
"Justice, Affaires étrangères, Défense, Économie, Agriculture et alimentation","Non","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","PARIS / LYON","2100","2500","Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Design de services","","1","2019-07-02T23:09:05+00:00"
"Écologie, Santé, Culture, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","Paris","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Architecte Entreprise","20","2019-07-02T22:36:45+00:00"
"Écologie, Justice, Éducation nationale, Enseignement supérieur et recherche, Culture","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Aquitaine","2500","3000","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","comunicar en occitan sonque","Refuse de se prononcer","Administration système","","29","2019-07-02T21:27:16+00:00"
"Écologie, Défense, Éducation nationale, Enseignement supérieur et recherche","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","Le sud c'est sympa","2000","2600","Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Data scientist","","1","2019-07-02T20:15:25+00:00"
"Écologie, Agriculture et alimentation, Sports","Non","Oui","Pour réorienter ma carrière","Au sein d'un ministère","CDI","En métropole","Epinal","1600","2000","Pouvoir travailler 1-2 jours par semaine en télétravail","","Un homme","Autre","Géomaticien, cartographe, utilisation d' ARCGIS ARCMAP","9","2019-07-02T19:58:38+00:00"
"Écologie, Éducation nationale, Agriculture et alimentation, Sports, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Nantes","3","3500","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Product management","","16","2019-07-02T18:39:42+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","3000","3500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Refuse de se prononcer","Administration système","","3","2019-07-02T18:39:18+00:00"
"Écologie, Santé, Culture, Agriculture et alimentation, Sports","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En métropole","Nantes - Loire-Atlantique","2000","2300","Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Data scientist","","12","2019-07-02T18:37:57+00:00"
"Écologie, Affaires étrangères, Culture","Oui","Oui","Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","3500","4000","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Archibiste","30","2019-07-02T17:55:02+00:00"
"Écologie, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","","3000","3300","Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","travailler selon mon éthique, avoir le statut de fonctionnaire en échange d'un effort sur le salaire","Refuse de se prononcer","Autre","développement en contrôle-commande et décentralisé","17","2019-07-02T16:49:37+00:00"
"Éducation nationale, Enseignement supérieur et recherche, Culture, Interministériel","Non","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","8000","10000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","Pouvoir recruter mon équipe. Pouvoir être en contact direct avec les utilisateurs. Etre autonome sur les décisions courantes (techniques, achat simple, opérationnel, caractéristiques produits,...) ","Un homme","Product management","","20","2019-07-02T15:51:34+00:00"
"Interministériel","Non","Non","Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","8000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Autre","Program manager","5","2019-07-02T15:04:42+00:00"
"Écologie, Culture, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Servir l'intérêt général, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","Versailles","2300","2600","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Une femme","Autre","Support client, Reconversion professionnelle en vu d'être frontend","14","2019-07-02T14:51:23+00:00"
"Justice, Santé, Économie, Culture, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un ministère","CDI","En région parisienne","Paris","3500","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Design de services","","3","2019-07-02T14:49:00+00:00"
"Défense, Économie","Oui","Je ne sais pas","Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","","3500","4000","Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","Salaire garanti y compris les primes","Un homme","Administration système","","10","2019-07-02T14:28:38+00:00"
"Écologie, Économie, Éducation nationale, Culture","Non","Je ne sais pas","Servir l'intérêt général, Pour faire une césure","Au sein d'un ministère, Au sein d'une région, Au sein d'une commune","Freelance, portage salarial","En région parisienne","Paris et première couronne ","7000","8000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil)","","Un homme","Autre","Chief Digital Officer ","20","2019-07-02T14:25:09+00:00"
"Enseignement supérieur et recherche","Oui","Je ne sais pas","Donner du sens à mon travail","Au sein d'un ministère","CDI","En métropole","Strasbourg","4500","4986","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux","","Un homme","Développement fullstack","","20","2019-07-02T14:02:58+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Toulouse","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","13","2019-07-02T13:30:38+00:00"
"Justice, Affaires étrangères, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Oui","Non","Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","3500","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Autre","Avoir des outils numériques pro (pas de libre mal foutu genre nuxeo)","Un homme","Administration système","","23","2019-07-02T13:22:42+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","Languedoc Roussillon","2850","3400","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","Stabilité de l'emploi","Un homme","Administration système","","19","2019-07-02T13:06:19+00:00"
"Écologie, Santé, Enseignement supérieur et recherche, Agriculture et alimentation","Oui","Oui","Pour faire une césure","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3500","4000","Travailler 35h / semaine","","Un homme","Administration système","","20","2019-07-02T13:05:27+00:00"
"Enseignement supérieur et recherche","Oui","Non","Servir l'intérêt général","Au sein d'une région","CDI","En métropole","Grand Est","3230","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","10","2019-07-02T13:01:31+00:00"
"Justice, Affaires étrangères, Défense, Agriculture et alimentation, Sports, Sécurité / secours","Non","Oui","Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En outre-mer","","2200","3000","Ne pas être soumis à des habilitations de sécurité / défense, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde","","Un homme","Data scientist","","1","2019-07-02T12:47:41+00:00"
"Justice, Affaires étrangères, Défense, Économie","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour faire une césure","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","2400","3200","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Data scientist","","1","2019-07-02T12:32:49+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Culture, Agriculture et alimentation","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2800","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil)","Avoir une équipe motivée et alignée quant aux valeurs de travail et aux perspectives","Une femme","Design de services","C'est intéressant d'avoir contraint le choix unique sur cette question. Pourquoi ? Et si on a plusieurs casquettes (je ne pense pas que ce soit rare, au contraire) ? (En l'occurrence pour moi, design d'interaction - de service - data science - com - management/transfo. des organisations - enseignement)","8","2019-07-02T12:22:06+00:00"
"Écologie, Justice","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","3000","4000","Pouvoir travailler 1-2 jours par semaine en télétravail","","Refuse de se prononcer","Product management","","11","2019-07-02T12:18:57+00:00"
"Enseignement supérieur et recherche","Non","Je ne sais pas","Pour avoir un travail stable","Au sein d'une région","CDI","En région parisienne","paris","2000","2500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","1","2019-07-02T12:17:05+00:00"
"Écologie, Santé, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Montpellier","2500","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels, Autre","avoir 10+ jours de RTT (temps de travail annualisé)","Un homme","Autre","Devops manager","20","2019-07-02T12:01:14+00:00"
"Écologie, Enseignement supérieur et recherche","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","toulouse","3000","3500","Avoir des horaires de travail flexibles","","Un homme","Administration système","","15","2019-07-02T11:56:12+00:00"
"Écologie, Justice, Santé, Enseignement supérieur et recherche, Agriculture et alimentation","Oui","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3000","3500","Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","pouvoir travailler avec des informaticiens compétent (et ne pas galérer à trouver des prestataires expérimentés)","Un homme","Data scientist","","5","2019-07-02T11:25:29+00:00"
"Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Travailler au côté de métiers différents du mien, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","3500","4000","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Refuse de se prononcer","Développement fullstack","","15","2019-07-02T11:21:02+00:00"
